Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-05-23 11:00:00
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1716483690	391494035	4900	8	""	2024-05-23	11:01:30	5371.2202	445.45053	2101.7993	39.346	55.0003	26.9111	51.1432	0.00202431	11.0723	54.5005	115.5	0.26661	24.0962	162
DATA	1716483691	391140937	4904	8	""	2024-05-23	11:01:31	5376.8335	447.29987	2102.239	39.346	55.0001	26.9099	51.1432	0.00199854	11.0727	54.5005	-10.5	0.26661	24.0958	181
DATA	1716483692	391140937	4908	8	""	2024-05-23	11:01:32	5378.0264	443.09735	2101.8147	39.3456	54.9999	26.9103	51.1432	0.00201451	11.0741	54.5005	-76.5	0.26661	24.0958	 22
DATA	1716483693	391140937	4912	8	""	2024-05-23	11:01:33	5382.1865	444.17548	2102.4431	39.3464	54.9999	26.909	51.1432	0.00201038	11.0756	54.5005	41.75	0.26661	24.0966	237
DATA	1716483694	391140937	4916	8	""	2024-05-23	11:01:34	5384.8701	444.67923	2103.3257	39.3468	54.9999	26.9095	51.1432	0.00204602	11.0733	54.5005	176.25	0.26661	24.095	 42
DATA	1716483695	391140937	4920	8	""	2024-05-23	11:01:35	5394.083	448.60263	2103.5542	39.346	54.9999	26.9107	51.1432	0.00202828	11.073	54.5005	-38.25	0.26661	24.095	125
DATA	1716483696	391140937	4924	0	""	2024-05-23	11:01:36	5398.1162	449.42722	2105.8159	39.3468	54.9999	26.9107	51.1432	0.00204089	11.0726	54.5005	-72.75	0.26661	24.095	 41
DATA	1716483697	391140937	4928	0	""	2024-05-23	11:01:37	5405.9307	453.86444	2105.9375	39.3456	55.0001	26.9082	51.1432	0.00201387	11.0733	54.5005	-113.5	0.26661	24.095	  0
DATA	1716483698	391140937	4932	0	""	2024-05-23	11:01:38	5402.6055	453.07693	2106.4241	39.3452	55.0003	26.9082	51.1432	0.00199757	11.0717	54.5005	18.75	0.26661	24.0954	 13
DATA	1716483699	390798091	4936	0	""	2024-05-23	11:01:39	5408.8394	456.03821	2106.0437	39.3468	55.0003	26.9111	51.1432	0.00200525	11.0731	54.5005	21.25	0.26661	24.0958	  2
