T,C
23-May-2024 11:08:54,508.70847
23-May-2024 11:08:55,495.76831
23-May-2024 11:08:56,490.80548
23-May-2024 11:08:57,487.17978
23-May-2024 11:08:58,478.67331
23-May-2024 11:08:59,475.79599
23-May-2024 11:09:00,468.03641
23-May-2024 11:09:01,467.88699
23-May-2024 11:09:02,461.30133
23-May-2024 11:09:03,453.02313
23-May-2024 11:09:04,455.59344
23-May-2024 11:09:05,469.73666
23-May-2024 11:09:06,483.09525
23-May-2024 11:09:07,482.31085
23-May-2024 11:09:08,481.46289
23-May-2024 11:09:09,476.16702
23-May-2024 11:09:10,473.61005
23-May-2024 11:09:11,474.12885
23-May-2024 11:09:12,472.22882
23-May-2024 11:09:13,471.79257
23-May-2024 11:09:14,472.74457
23-May-2024 11:09:15,471.20447
23-May-2024 11:09:16,473.68036
23-May-2024 11:09:17,477.39465
23-May-2024 11:09:18,477.30124
23-May-2024 11:09:19,476.02307
23-May-2024 11:09:20,471.60599
23-May-2024 11:09:21,471.09924
23-May-2024 11:09:22,471.53152
23-May-2024 11:09:23,471.43771
23-May-2024 11:09:24,470.59457
23-May-2024 11:09:25,469.14056
23-May-2024 11:09:26,468.99393
23-May-2024 11:09:27,467.29398
23-May-2024 11:09:28,473.64514
23-May-2024 11:09:29,467.54489
23-May-2024 11:09:30,469.40009
23-May-2024 11:09:31,471.35077
23-May-2024 11:09:32,473.88586
23-May-2024 11:09:33,471.38541
23-May-2024 11:09:34,470.52319
23-May-2024 11:09:35,468.67062
23-May-2024 11:09:36,468.45145
23-May-2024 11:09:37,470.49997
23-May-2024 11:09:38,472.2782
23-May-2024 11:09:39,470.09869
23-May-2024 11:09:40,472.14621
23-May-2024 11:09:41,455.35214
23-May-2024 11:09:42,468.5477
23-May-2024 11:09:43,469.80814
23-May-2024 11:09:44,473.4444
23-May-2024 11:09:45,467.33041
23-May-2024 11:09:46,470.20477
23-May-2024 11:09:47,473.70914
23-May-2024 11:09:48,469.68817
23-May-2024 11:09:49,470.44913
23-May-2024 11:09:50,469.93356
23-May-2024 11:09:51,471.34158
23-May-2024 11:09:52,473.44086
23-May-2024 11:09:53,1214.6406
23-May-2024 11:09:54,2846.0413
23-May-2024 11:09:55,2986.8213
23-May-2024 11:09:56,3000.2349
23-May-2024 11:09:57,3002.2598
23-May-2024 11:09:58,3008.2903
23-May-2024 11:09:59,3005.8943
23-May-2024 11:10:00,3002.7769
23-May-2024 11:10:01,3000.2693
23-May-2024 11:10:02,3006.2385
23-May-2024 11:10:03,3004.1296
23-May-2024 11:10:04,3010.3306
23-May-2024 11:10:05,3008.7366
23-May-2024 11:10:06,3003.6753
23-May-2024 11:10:07,3013.8926
23-May-2024 11:10:08,3006.6235
23-May-2024 11:10:09,3007.8691
23-May-2024 11:10:10,3013.0786
23-May-2024 11:10:11,3004.5144
23-May-2024 11:10:12,3011.8796
23-May-2024 11:10:13,3014.0437
23-May-2024 11:10:14,3010.7671
23-May-2024 11:10:15,3012.2268
23-May-2024 11:10:16,3012.4419
23-May-2024 11:10:17,3012.2251
23-May-2024 11:10:18,3007.198
23-May-2024 11:10:19,3005.9133
23-May-2024 11:10:20,3010.7437
23-May-2024 11:10:21,3010.1436
23-May-2024 11:10:22,3014.0554
23-May-2024 11:10:23,3009.5247
23-May-2024 11:10:24,3010.6245
23-May-2024 11:10:25,3009.6221
23-May-2024 11:10:26,3011.5039
23-May-2024 11:10:27,3008.667
23-May-2024 11:10:28,3008.0269
23-May-2024 11:10:29,3012.6235
23-May-2024 11:10:30,3010.564
23-May-2024 11:10:31,3009.5317
23-May-2024 11:10:32,3007.3872
23-May-2024 11:10:33,3008.9268
23-May-2024 11:10:34,3011.6741
23-May-2024 11:10:35,3010.041
23-May-2024 11:10:36,3012.042
23-May-2024 11:10:37,3011.3857
23-May-2024 11:10:38,3012.4402
23-May-2024 11:10:39,3009.3794
23-May-2024 11:10:40,3008.5786
23-May-2024 11:10:41,3010.9758
23-May-2024 11:10:42,3009.5989
23-May-2024 11:10:43,3010.4939
23-May-2024 11:10:44,3008.7053
23-May-2024 11:10:45,3012.8694
23-May-2024 11:10:46,3012.7786
23-May-2024 11:10:47,3011.7661
23-May-2024 11:10:48,3003.7275
23-May-2024 11:10:49,3008.9583
23-May-2024 11:10:50,3011.6074
23-May-2024 11:10:51,3010.916
23-May-2024 11:10:52,3011.6069
23-May-2024 11:10:53,3013.7854
23-May-2024 11:10:54,3011.217
23-May-2024 11:10:55,3009.5073
23-May-2024 11:10:56,3007.2627
23-May-2024 11:10:57,3014.7998
23-May-2024 11:10:58,3010.1638
23-May-2024 11:10:59,3014.0703
23-May-2024 11:11:00,3010.5627
23-May-2024 11:11:01,3011.1104
23-May-2024 11:11:02,3013.4568
23-May-2024 11:11:03,3009.1143
23-May-2024 11:11:04,3011.0481
23-May-2024 11:11:05,3014.4817
23-May-2024 11:11:06,3013.6418
23-May-2024 11:11:07,3009.5571
23-May-2024 11:11:08,3005.4048
23-May-2024 11:11:09,3012.489
23-May-2024 11:11:10,2997.7107
23-May-2024 11:11:11,2041.08
23-May-2024 11:11:12,754.87378
23-May-2024 11:11:13,564.28394
23-May-2024 11:11:14,534.21832
23-May-2024 11:11:15,512.83319
23-May-2024 11:11:16,502.13269
23-May-2024 11:11:17,488.21057
23-May-2024 11:11:18,482.00177
23-May-2024 11:11:19,479.87677
23-May-2024 11:11:20,475.71552
23-May-2024 11:11:21,474.88593
23-May-2024 11:11:22,471.95786
23-May-2024 11:11:23,471.46613
23-May-2024 11:11:24,468.37366
23-May-2024 11:11:25,463.79965
23-May-2024 11:11:26,464.92953
23-May-2024 11:11:27,463.40909
23-May-2024 11:11:28,463.46088
23-May-2024 11:11:29,464.12564
23-May-2024 11:11:30,471.74588
23-May-2024 11:11:31,469.10318
23-May-2024 11:11:32,470.22797
23-May-2024 11:11:33,469.89301
23-May-2024 11:11:34,472.45435
23-May-2024 11:11:35,481.67017
23-May-2024 11:11:36,497.64651
23-May-2024 11:11:37,505.55923
23-May-2024 11:11:38,505.40384
23-May-2024 11:11:39,509.92401
23-May-2024 11:11:40,517.17029
23-May-2024 11:11:41,547.48828
23-May-2024 11:11:42,672.10449
23-May-2024 11:11:43,705.92676
23-May-2024 11:11:44,627.71832
23-May-2024 11:11:45,578.8371
23-May-2024 11:11:46,553.71991
23-May-2024 11:11:47,536.68817
23-May-2024 11:11:48,531.76019
23-May-2024 11:11:49,519.78143
23-May-2024 11:11:50,510.06439
23-May-2024 11:11:51,507.57529
23-May-2024 11:11:52,523.03473
23-May-2024 11:11:53,517.60114
23-May-2024 11:11:54,494.53668
23-May-2024 11:11:55,482.21664
23-May-2024 11:11:56,486.96585
23-May-2024 11:11:57,486.04657
23-May-2024 11:11:58,489.45111
23-May-2024 11:11:59,490.78082
23-May-2024 11:12:00,491.73029
